Central,Llave,Coordinado,Grupo reporte,Tipo,Subtipo,Fecha,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23,Hora 24,Hora 25,Total
PMGD PFV  LAS MOLLACAS,Las Mollacas,LAS MOLLACAS SPA,PMGD PFV Las Mollacas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0426058218,0.2382930489,0.8317670135,0.7163354264,0.822033783,0.6585222627,1.196830658,0.6510411224,0.4231440888,0.2902445334,0.0449761641,0,0,0,0,0,0,,5.915793923
PMGD PFV  SANTA CAROLINA,SANTA CAROLINA,CARBON FREE CHILE SPA,PMGD PFV Santa Carolina,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0285063512,1.016097076,1.588209534,1.624627502,1.550300202,1.513553345,1.519891937,1.586997223,1.528214539,1.112456528,0.3168967523,0.0002277648,0,0,0,0,0,,13.38597875
PMGD PFV ALBOR SOLAR,PMGD PFV Albor Solar,PARQUE SOLAR ALBOR SPA,PMGD PFV Albor Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0296933551,0.4315199699,0.434140129,0.6695946579,1.779187439,3.768010986,3.799517334,3.922144592,3.973208252,3.354869995,0.9234154701,0.010973816,0,0,0,0,0,,23.096276
PMGD PFV ALICAHUE,Alicahue,PARQUE FOTOVOLTAICO ALICAHUE SOLAR SPA,PMGD PFV Alicahue,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0195962126,0.6179427414,1.195515579,1.650171356,1.94941922,1.702250641,2.041170929,1.805955383,1.316712555,0.7456640625,0.2318406767,0,0,0,0,0,0,,13.27623936
PMGD PFV ALTO SOLAR,Alto Solar,EL QUEULE SPA,PMGD PFV Alto Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0097813276,0.1220002222,0.230491684,0.3298550911,0.3848936768,0.5209799729,0.4657856598,0.3785102004,0.4631779251,0.2416488954,0.0590313764,0.0001904087,0,0,0,0,0,,3.20634644
PMGD PFV ALTOS DE TILTIL,Altos de Til Til,ECOM GENERACIÓN SPA,PMGD PFV Altos de Til Til,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0031491489,0.3555302087,0.8299498291,1.277570709,1.514603882,1.664017731,1.671562134,1.463372223,1.036060791,0.4764584771,0.0477887595,0,0,0,0,0,0,,10.34006389
PMGD PFV ALTURAS DE OVALLE,Alturas de Ovalle,IEH SOLAR CHILE SPA,PMGD PFV Alturas de Ovalle,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1357586308,1.21154602,1.815290192,1.697307159,2.730998169,1.69354364,2.641114197,1.488987244,0.9601343689,0.658565094,0.1406744452,0.0002578736,0,0,0,0,0,,15.17417703
PMGD PFV AMPARO DEL SOL,Amparo del sol,PARQUE SOLAR AMPARO DEL SOL SPA,PMGD PFV Amparo del Sol,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0539315141,0.4295566444,1.19550705,0.9432041016,1.45477066,1.228296967,1.926847412,1.080951614,0.7430328674,0.5322610473,0.1196484604,0.000929924,0,0,0,0,0,,9.708938262
PMGD PFV ANAKENA,PMGD PFV Anakena,FONTUS PRIME SOLAR SPA,PMGD PFV Anakena,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0000488027,0.8017310734,5.662576843,8.310182617,4.069388855,6.289853271,4.423972046,6.451041992,4.215937439,2.487304626,1.986600754,0.4410181046,0.0095207724,0,0,0,0,0,,45.1491772
PMGD PFV ANTONIA SOLAR,Solar Antonia,CARBON FREE CHILE SPA,PMGD PFV Antonia,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0850847233,0.9446464692,1.701378754,1.692255676,1.601795258,1.582115265,1.607214935,1.68190564,1.569576111,1.252757797,0.2866132554,0.0011591855,0,0,0,0,0,,14.00650307
PMGD PFV ARIZTIA,Ariztia,FOTOVOLTAICA ARIZTÍA SPA,PMGD PFV Ariztía,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0184513771,0.189487915,1.082318832,1.835954376,1.777845398,1.759624634,1.770957977,1.80783371,1.77661084,1.292627625,0.2325393023,0.000345387,0,0,0,0,0,,13.54459737
