Central,Llave,Coordinado,Grupo reporte,Tipo,Subtipo,Fecha,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23,Hora 24,Hora 25,Total
PMGD PFV LLANOS DE POTROSO,Llanos de Potroso,SONNEDIX LA SERENA SPA,PMGD PFV Llanos de Potroso,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0.0995509067,2.597246155,1.418968948,0.6488264771,0.7048916778,0.7010691566,0,0,0.1934686279,0.6894195557,0.0195090089,0.0067537564,0.0165287652,0.0102755459,0.0030006192,0,,7.109509201
PMGD PFV LLAY LLAY,LLAY LLAY,XUE SOLAR SPA,PMGD PFV Llay Llay,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.6006337085,5.657074585,7.538541992,7.437009766,7.230225708,7.093369385,7.176393555,7.601949707,7.439151611,5.841496582,2.387044891,0.0105551891,0,0,0,0,0,,66.01344668
PMGD PFV LO BOZA,PMGD PFV LO BOZA,IMELSA ENERGÍA SPA,PMGD PFV Lo Boza,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0.0001619194,0.0654748988,0.1427555008,0.0913795089,0.04749928,0.0019362165,0,0,0,0,0,0,0,0,0,,0.3492073244
PMGD PFV LO CHACON,PMGD PFV Lo Chacón,PFV LO CHACON SPA,PMGD PFV Lo Chacón,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0966544171,0.6237783509,1.590522186,1.898656952,1.876929047,1.869946838,1.885335724,1.928896973,1.801448853,1.079336456,0.2828699494,0.0030817215,0,0,0,0,0,,14.93745747
PMGD PFV LO MIRANDA,Lo Miranda,SPV P4 SPA,PMGD PFV Lo Miranda,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2329255104,2.167301819,4.100979553,4.160893188,3.943534607,3.786574341,3.808851685,3.907718384,3.670203064,2.521166107,0.777831604,0.0063607998,0,0,0,0,0,,33.08434066
PMGD PFV LO SIERRA,Lo Sierra,PARQUE SOLAR H6 SPA,PMGD PFV Lo Sierra,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.112364849,0.3068714752,1.345873047,2.03309372,2.29386145,2.412512329,2.23746405,1.903223145,1.345085053,0.7166174774,0.2104124079,0.0026771448,0,0,0,0,0,,14.92005615
PMGD PFV LOCKMA [En_Revision],PMGD PFV Lockma,CE CENTINELA SOLAR SPA [En_Revision],PMGD PFV Lockma,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0000629253,0.2800060626,1.251779678,2.066182831,3.351970032,4.25175354,4.34550647,4.343402832,3.847739197,2.861692078,3.707095886,1.574999306,0.0349387951,0,0,0,0,0,,31.91712963
PMGD PFV LOICA,PMGD PFV Loica,LOICA SPA,PMGD PFV Loica,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0670563254,0.7446264877,1.495406708,1.709899841,1.684074524,1.661466888,1.665832306,1.6756828,1.367643921,0.7832535172,0.1611026278,0.003463691,0,0,0,0,0,,13.01950964
PMGD PFV LOMAS COLORADAS,LOMAS COLORADAS,PSF LOMAS COLORADAS S.A.,PMGD PFV Lomas Coloradas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0548770524,0.4869482652,0.8657568054,1.054974289,0.9771925355,0.9150081024,0.9986043092,1.066581192,0.8497541657,0.3511020699,0.0810175925,0.0010048776,0,0,0,0,0,,7.702821257
PMGD PFV LOS GORRIONES,PFV LOS GORRIONES,PV LOS GORRIONES SPA,PMGD PFV Los Gorriones,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0373055381,0.803349762,1.955963104,2.00364624,1.935609375,1.906185791,1.959767273,1.970210907,1.571584137,0.9355903625,0.1988903333,0.0030725462,0,0,0,0,0,,15.28117537
PMGD PFV LOS JOTES,PMGD PFV Los Jotes,PINGÜINO EMPERADOR SPA,PMGD PFV Los Jotes,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0322973654,0.720663414,1.657234772,1.938738159,1.922693695,1.904287048,1.916874542,1.958308319,1.827150787,1.110552612,0.2557842159,0.0020296178,0,0,0,0,0,,15.24661455
PMGD PFV LOS LAGOS,Los Lagos Solar,LOS LAGOS SPA,PMGD PFV Los Lagos,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0299685216,0.3982069016,0.9008206635,1.055878357,1.064412567,1.068055054,1.081251343,1.134871246,1.068431656,0.6418257523,0.109074996,0.0017579294,0,0,0,0,0,,8.554554987
PMGD PFV LOS LIBERTADORES,Los Libertadores,PV LIBERTADORES SPA,PMGD PFV Los Libertadores,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1632126181,1.516438278,2.231453125,2.726647949,2.972599854,3.071770386,3.005989563,2.738240112,2.270181183,1.459122391,0.4751047554,0.0047762308,0,0,0,0,0,,22.63553645
PMGD PFV LOS LIRIOS [EN_REVISION],PMGD PFV Los Lirios,PLANTA SOLAR LOS LIRIOS II SPA [EN_REVISION],PMGD PFV Los Lirios,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.052461418,0.3999277687,0.6814829559,0.8291504059,1.012638199,1.106695862,1.073028839,0.9448544923,0.7096671448,0.3857191087,0.1527937617,0.0013699884,0,0,0,0,0,,7.349789944
PMGD PFV LOS MAGNOLIOS SOLAR,PMGD PFV LOS MAGNOLIOS SOLAR,LITRE SPA,PMGD PFV Los Magnolios,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.047751369,0.6252862015,1.738802368,1.906342621,1.821914825,1.792531036,1.793857727,1.921070496,1.562856964,1.430885803,0.3379601516,0.0058922944,0,0,0,0,0,,14.98515186
PMGD PFV LOS MOLINOS,Los Molinos,LOS MOLINOS SPA,PMGD PFV Los Molinos,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2166972977,1.699127014,5.089791016,7.663855591,7.510753784,7.414006958,7.415085083,7.564849976,7.326938599,5.856574951,1.447647869,0.0263690267,0,0,0,0,0,,59.23169716
PMGD PFV LOS PALTOS,Los Paltos,CARBON FREE CHILE SPA,PMGD PFV Los Paltos,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0295694004,0.7303918723,1.617536346,1.702353333,1.682790833,1.652444214,1.666727661,1.731293701,1.673151917,1.208709473,0.2113025704,0.0022865727,0,0,0,0,0,,13.90855789
PMGD PFV LOS PATOS,Los Patos,PV LOS PATOS SPA,PMGD PFV Los Patos,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0980611145,1.149847275,2.072783569,2.087967621,1.977390076,1.974922394,2.04493457,1.981243805,1.827424164,1.353693207,0.3353078108,0.0032029905,0,0,0,0,0,,16.9067786
PMGD PFV LOS PERALES,Los Perales,PMGD SOLAR LOS PERALES I SPA,PMGD PFV Los Perales,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0864266546,0.6409384537,1.348010986,1.914317871,2.227272034,2.426143189,2.382767273,2.140195618,1.623424622,0.9735039978,0.3234704208,0.0049596291,0,0,0,0,0,,16.09143075
PMGD PFV LOS PUQUIOS,Solar Los Puquios,PARQUE SOLAR LOS PUQUIOS SPA,PMGD PFV Los Puquios,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV LOS TAURETES [En_Revision],PMGD PFV Los Tauretes,CVE PROYECTO OCHO SPA [En_Revision],PMGD PFV Los Tauretes,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1249413816,1.02638089,1.59368927,1.560001099,1.484706909,1.464591919,1.496484375,1.547097778,1.452932312,0.7835331115,0.1949101782,0.0015567366,0,0,0,0,0,,12.73082596
PMGD PFV LOS TILOS,PMGD PFV Los Tilos,PARQUE FOTOVOLTAICO OCOA II SPA,PFV Los Tilos,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0391993188,1.071079733,2.737172546,2.751503784,2.632567383,2.56886438,2.614516968,2.724440979,2.616745789,1.847631378,0.4799142571,0.0053685501,0,0,0,0,0,,22.08900507
PMGD PFV LOS TORDOS,PMGD PFV Los Tordos,PFV LOS TORDOS SPA,PMGD PFV Los Tordos,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1721193926,1.923669678,3.347579224,3.378311096,3.28542395,3.201717102,3.303041565,3.309046631,2.675086426,1.734682495,0.5339436379,0.0060716762,0,0,0,0,0,,26.87069287
PMGD PFV LUCE SOLAR,Solar Luce,LUCE SOLAR SPA,PMGD PFV Luce Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0126907124,0.1742448253,0.2704224892,0.3179334526,0.4525610199,0.6634588928,0.6272783127,0.4146195373,0.4791647415,0.2989816932,0.0789373432,0.0002020105,0,0,0,0,0,,3.790495031
PMGD PFV LUDERS,Luders,IEH SOLAR CHILE SPA,PMGD PFV Luders,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.025413189,1.012903395,2.180275635,2.154994263,2.078595215,1.992489685,2.027583527,2.147115357,2.183319092,1.614837769,0.3859153451,0.001505145,0,0,0,0,0,,17.80494761
PMGD PFV LUMBRERAS,LUMBRERAS,BETEL SPA,PMGD PFV Lumbreras,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0681849847,0.9589045715,2.118401093,2.23201358,2.228664917,2.311453064,2.303648193,2.357716797,2.201941681,1.46766806,0.3805352478,0.0063398537,0,0,0,0,0,,18.63547204
PMGD PFV LUNA,Luna,LUNA ENERGY SPA,PMGD PFV Luna,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0624803813,0.6885821991,1.387922638,1.554150299,1.555027252,1.517214844,1.507433136,1.587288269,1.412497467,0.855191162,0.1477669825,0.0000067399,0,0,0,0,0,,12.27556137
PMGD PFV LUNA DEL NORTE,Luna del Norte,SOLAR E SPA,PMGD PFV Luna del Norte,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0670551985,0.84375,1.614028839,2.016487335,1.923388458,1.874044617,0.9831992493,1.054352142,0.6356145478,0.3038223114,0.1422435847,0.0000011728,0,0,0,0,0,,11.45798746
PMGD PFV MAIKONO,PMGD PFV Maikono,TORTOLA SPA,PMGD PFV Maikono,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV MALAQUITA SOLAR II,MALAQUITA SOLAR 2,CARBON FREE CHILE SPA,PMGD PFV Malaquita II,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,1.475287052,5.88238208,7.064525269,6.297481445,5.267578613,6.302319336,6.548224243,6.806039551,6.655913941,4.4652229,1.173478569,0.01128403,0,0,0,0,0,,57.94973703
PMGD PFV MALINKE,Malinke,SPV P4 SPA,PMGD PFV Malinke,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0305906628,0.1947999878,0.3418069,1.073579193,1.370003937,1.365492188,1.370000275,1.36999997,1.369009552,1.002941925,0.2441007586,0.0023876402,0,0,0,0,0,,9.734712988
PMGD PFV MANAO,PMGD PFV MANAO,SOLAR TI DOCE SPA,PMGD PFV Manao,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1574110145,1.146670914,1.870706421,1.880394959,1.788755249,1.741863647,1.810769409,1.898180634,1.885090424,1.333883942,0.3599147081,0.0045394132,0,0,0,0,0,,15.87818073
PMGD PFV MANDINGA,PMGD PFV Mandinga,MANDINGA SOLAR SPA,PMGD PFV Mandinga,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1279494972,0.7033702926,1.289527893,3.28536734,4.10999646,4.109997681,4.110009522,4.109994141,4.109941406,3.621945557,1.085236412,0.0154138182,0,0,0,0,0,,30.67875002
PMGD PFV MARCHIGUE II,PFV MARCHIGUE II,GR CANELO SPA,PMGD PFV Marchigue II,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.3744340468,3.574300964,5.922986328,6.311119629,6.106129395,5.83166919,5.86340625,6.185777954,5.760520874,4.803697022,1.092845917,0.0049586949,0,0,0,0,0,,51.83184626
PMGD PFV MARCHIHUE VII,PFV MARCHIHUE VII,CARBON FREE CHILE SPA,PMGD PFV Marchigue VII,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1184620485,1.016138473,1.582180634,1.661951935,1.654626984,1.619093811,1.590990967,1.620666931,1.468963837,1.194795853,0.275345089,0.0013581929,0,0,0,0,0,,13.80457475
PMGD PFV MARIA PINTO,María Pinto,PFV MARÍA PINTO SPA,PMGD PFV María Pinto,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1201326473,1.061288391,1.932264496,2.012018494,1.856546783,1.760750855,1.858021057,1.952585114,1.76185556,1.34767923,0.3298093796,0.0014055169,0,0,0,0,0,,15.99435752
PMGD PFV MARIN,MARIN,SOLAR E SPA,PMGD PFV Marin,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1574548981,1.565229096,2.22788617,2.243969482,2.183661804,2.124759399,2.199869446,2.286448547,2.150260773,1.213323395,0.1787968568,0.0012737716,0,0,0,0,0,,18.53293364
PMGD PFV MELI,PMGD PFV Meli,MELI SPA,PMGD PFV Meli,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.3741211829,3.277841126,5.95637085,6.034666992,5.796151611,5.596417725,5.543869751,5.560880127,5.230342774,3.047460327,0.3808133182,0.0055673366,0,0,0,0,0,,46.80450312
PMGD PFV MERCURIO SUR,Mercurio Sur,LOS LIBERTADORES SOLAR SPA,PMGD PFV Mercurio Sur,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0365275619,0.9347064208,2.058176056,2.143076172,2.019592285,1.992593323,2.073691712,2.108558228,1.851286469,1.052194,0.2687338122,0.002369195,0,0,0,0,0,,16.54150523
PMGD PFV MILAN A,PMGD PFV Milán A,GPG GENERACIÓN DISTRIBUIDA SPA,PMGD PFV Milán A,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0286997545,0.1927547169,0.4611588669,0.7758912201,1.072169098,1.265663696,1.337216644,1.23872171,0.9947285309,0.3903132477,0,0,0,0,0,0,0,,7.757317486
PMGD PFV MITCHI,PMGD PFV MITCHI,GR RUIL SPA,PMGD PFV Mitchi,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0019278736,1.214898148,2.067719605,2.06449884,2.065147461,2.0650578,2.064543945,2.063802978,2.064237122,2.064637573,2.064980347,1.771924377,0.0519302316,0,0,0,0,0,,21.6253063
PMGD PFV MONTT SOLAR,Montt Solar,CARBON FREE CHILE SPA,PMGD PFV Montt,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.029383095,0.7022096024,1.761879608,1.719866425,1.640405121,1.593104584,1.626266968,1.709581787,1.677828674,1.307344116,0.3365294914,0.0025093546,0,0,0,0,0,,14.10690883
PMGD PFV MOSTAZAL,Mostazal,IEH SOLAR CHILE SPA,PMGD PFV Mostazal,Solar,Solar,2023-04-20,0.0000059741,0,0,0,0,0,0,0,0.0000100672,5.978305481,6.62380481,6.483841919,6.282684937,6.260379517,6.581416504,6.747780396,4.958723999,1.211216808,0.0053092904,0,0,0,0,0,,51.1334797
PMGD PFV MOYA,Moya,SUVAN SOLAR SPA,PMGD PFV Moya,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0570943784,0.6547475128,1.527947083,1.908518585,3.197507813,8.934840088,9.015936768,8.674380982,6.892418335,4.327433289,1.37157975,0.0270485268,0,0,0,0,0,,46.58945311
PMGD PFV MUTUPIN,Mutupin,CARBON FREE CHILE SPA,PMGD PFV Mutupín,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1702702589,2.304200562,5.353603027,5.800450439,6.48035083,6.386305176,6.51773523,6.855987671,7.006548096,3.643772461,0.7204333115,0.0179133504,0,0,0,0,0,,51.25757041
PMGD PFV NAHUEN,Nahuen,GR PILO SPA,PMGD PFV Nahuén,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0964234396,0.850917572,2.52587143,6.278882568,6.116928711,5.989872192,6.028240356,6.220851196,6.069549683,3.875633301,0.8510854721,0.0082542725,0,0,0,0,0,,44.91251019
PMGD PFV NAN [En_Revision],PMGD PFV Nan,GR HORNOPIREN SPA [En_Revision],PMGD PFV Nan,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV NAZARINO DEL VERANO SOLAR,PMGD PFV Nazarino del Verano Solar,SOCOMPA DE VERANO SPA,PMGD PFV Nazarino Verano,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1068492227,1.05709108,1.853363464,1.973411255,2.002233978,1.985324005,1.986247101,2.033144989,1.962858429,1.304051727,0.3431351471,0.0044329529,0,0,0,0,0,,16.61214335
PMGD PFV NIHUE,PMGD PFV Nihue,NIHUE SOLAR SPA,PMGD PFV Nihue,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0.0392497749,0.3609513855,0.3394727478,0.5244312897,0.875173584,1.305727951,0.5683613587,0.6845795136,0.4336775284,0.1400265914,0.0015705557,0,0,0,0,0,,5.273222281
PMGD PFV NORTE CHICO,Norte Chico I,CEDARS SOLAR SPA,PMGD PFV Norte Chico,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0666766771,0.7067085266,1.356131622,1.465313263,1.440246765,1.434757019,1.44906308,1.491666931,1.351287445,0.8999236907,0.15853833,0.0019647189,0,0,0,0,0,,11.82227807
PMGD PFV OCOA,Ocoa,PARQUE FOTOVOLTAICO OCOA SPA,PMGD PFV Ocoa,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0158662243,1.245930283,2.350302795,2.305894775,2.185688721,2.110924011,2.15739209,2.271050537,2.204443359,1.632954041,0.4703188038,0,0,0,0,0,0,,18.95076564
PMGD PFV OLIVILLO,Olivillo,SOLAR E SPA,PMGD PFV Olivillo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1872021432,2.535287689,5.780980957,6.181719971,5.907836792,5.787730347,5.86387561,6.097107544,5.820004028,4.135358154,1.010438179,0.0081953239,0,0,0,0,0,,49.31573674
PMGD PFV ORION SOLAR,Orion,CARBON FREE CHILE SPA,PMGD PFV Orion,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0415970485,0.7308638001,1.747069702,1.888958588,1.805047485,1.755158081,1.756650452,1.8392034,1.904540131,1.519020569,0.402721033,0.0103333723,0,0,0,0,0,,15.40116366
PMGD PFV OVEJERIA,Ovejeria,COLBÚN S.A.,PMGD PFV Ovejería,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.4512550598,3.564797302,5.760800537,5.671460449,5.374102051,5.288983276,5.334773193,5.569410889,5.386081909,3.780977417,1.06303055,0.0036852205,0,0,0,0,0,,47.24935785
PMGD PFV PACHIRA,Pachira,CARBON FREE CHILE SPA,PMGD PFV Pachira,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2927693285,3.087098145,6.273734985,6.750442993,6.667711182,6.534121216,6.716700684,6.699505249,5.70761438,3.200701904,0.6873277549,0.012920512,0,0,0,0,0,,52.63064833
PMGD PFV PAINE,PMGD PFV Paine,PAINE ENERGY SPA,PMGD PFV Paine,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0040632195,2.198081276,8.079371826,8.879644531,8.663097412,8.630838379,8.657,8.596765869,8.694800293,8.761131348,8.220362183,3.55017569,0.069006814,0,0,0,0,0,,83.00433884
PMGD PFV PALTO SUNLIGHT,PMGD PFV Palto Sunlight,PALTO SUNLIGHT SPA,PMGD PFV Palto Sunlight,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0640738966,1.985298142,5.589505371,5.940579468,5.987519165,6.045621826,6.00980603,6.077353149,5.47086731,0.9999171447,0.2745421314,0,0,0,0,0,0,,44.44508363
PMGD PFV PAMA,PAMA,PSF PAMA S.A.,PMGD PFV Pama,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0295859974,0.7058928604,1.20715094,1.414390534,1.124854248,1.082290009,0.9298068848,1.235308914,1.058447144,0.4413497695,0.1017795925,0.0010780578,0,0,0,0,0,,9.33193495
PMGD PFV PANQUEHUE II,PANQUEHUE_II,IEH SOLAR CHILE SPA,PMGD PFV Panquehue II,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0425256621,1.543611519,3.209044922,1.237671463,1.221339035,5.127994263,2.643916992,0,1.947908295,1.841918762,0.5905956382,0.0048611498,0,0,0,0,0,,19.4113877
PMGD PFV PARAGUAY,Paraguay,SPV P4 SPA,PMGD PFV Paraguay,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2767519936,2.643069702,5.606761597,6.49427356,6.245783936,6.106466431,6.225816162,6.13023523,5.570187134,4.066608032,0.9853417663,0.0118137649,0,0,0,0,0,,50.36310931
PMGD PFV PARQUE ALHUE,PMGD PFV ALHUE,MEMBRILLO SOLAR SPA,PMGD PFV Alhué,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019183999,0,0,0,0,0,,0.0019183999
PMGD PFV PARQUE CURICURA,PMGD PFV Curicura,PARQUE SOLAR AURORA SPA,PMGD PFV Parque Curicura,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2106375233,2.447406342,5.719791748,6.207979126,5.884628662,5.845421997,5.946284546,6.078242065,5.866982422,3.809497864,0.8533177795,0.0101855335,0,0,0,0,0,,48.88037561
PMGD PFV PARQUE EL INGENIO [En_Revision],PMGD PFV El Ingenio,PARQUE SOLAR ALTOS LAO SPA [En_Revision],PMGD PFV El Ingenio,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0459865799,0.3234538002,0.8980198974,0.1462977448,0,0,0,0,0,0,0.0068703433,0,0,0,0,0,0,,1.420628366
PMGD PFV PARQUE FOTOVOLTAICO EL SHARON [En_Revision],PMGD PFV El Sharon,EL SHARON SPA [En_Revision],PMGD PFV El Sharon,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0989526006,0.8203214798,1.722692963,1.950626129,1.899583679,1.87433606,1.888356506,1.902947388,1.814393372,1.121753708,0.2430481406,0.004553211,0,0,0,0,0,,15.34156524
PMGD PFV PARQUE PANGUILEMO AEROPUERTO,PMGD PFV Panguilemo Aeropuerto,PARQUE SOLAR RETIRO SPA,PMGD PFV Panguilemo Aerop.,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.161812985,1.56557544,3.301377563,4.004892395,3.914081299,3.894812988,4.05157489,3.825824646,3.211009033,1.706533112,0.4569838715,0.007007256,0,0,0,0,0,,30.10148548
PMGD PFV PARQUE PENCAHUE ESTE,PENCAHUE ESTE,PARQUE SOLAR PORVENIR SPA,PMGD PFV Pencahue Este,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1039168816,0.9868334198,1.941844482,2.053273621,2.061791138,2.08139502,2.097553833,2.056958099,1.703356567,0.9384835968,0.2755497465,0.0017065256,0,0,0,0,0,,16.30266293
PMGD PFV PARQUE PUEBLO SECO [EN_REVISION],PMGD PFV Pueblo Seco,PARQUE SOLAR PUEBLO SECO SPA [EN_REVISION],PMGD PFV Pueblo Seco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV PARQUE PVP ITIHUE [En_Revision],PMGD PFV Parque PVP Itihue,PARQUE SOLAR ITIHUE SPA [En_Revision],PMGD PFV Parque PVP Itihue,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2240156973,2.368499878,3.861760254,0.4219747009,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.87625053
PMGD PFV PARQUE ROMERIA,PMGD PFV Romeria,PARQUE SOLAR EL SAUCE SPA,PMGD PFV Romeria,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.3037608538,3.183944305,6.105358276,6.319939942,6.079941406,5.94330188,6.192320801,4.546310005,5.440199829,4.109979309,0.9346368751,0.0096563845,0,0,0,0,0,,49.16934987
PMGD PFV PARQUE SANTA CRUZ,PMGD PFV Santa Cruz,PARQUE SOLAR LO CHACON SPA,PMGD PFV Santa Cruz,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1079827051,2.308691574,5.366508179,6.424126221,6.468873779,6.405120972,6.516431274,6.668835327,6.372531128,4.125408508,1.023064995,0.0106525984,0,0,0,0,0,,51.79822726
PMGD PFV PARQUE SOLAR ALCALDESA,PFV Alcaldesa,PARQUE SOLAR ALCALDESA SPA,PMGD PFV Alcaldesa,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1722414676,2.236951141,4.629381226,4.748141235,4.571119263,4.450112793,4.492294067,4.680113648,4.949445435,1.074880722,0.1109065766,0.0005525753,0,0,0,0,0,,36.11614015
PMGD PFV PARQUE SOLAR BICENTENARIO,PARQUE SOLAR BICENTENARIO,FOTOVOLTAICA SOLAR LAUREL SPA,PMGD PFV Parque Bicentenario,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0398056181,0.6063037796,1.653914795,1.745192108,1.713301392,1.685924316,1.734852448,1.770950165,1.312300201,0.7655733489,0.1847322683,0.0031015089,0,0,0,0,0,,13.21595195
PMGD PFV PARQUE SOLAR CANTILLANA [En_Revision],PMGD PFV CANTILLANA,PARQUE SOLAR CANTILLANA SPA [En_Revision],PMGD PFV Cantillana,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1758329173,1.16695015,2.161913574,2.497981995,2.628916077,2.626060364,2.521775269,2.348388611,2.073811279,1.121586502,0.3043029929,0.0012860676,0,0,0,0,0,,19.6288058
PMGD PFV PARQUE SOLAR EL OLIVAR,PMGD PFV Parque Solar El Olivar,EL OLIVAR SOLAR SPA,PMGD PFV Parque Solar El Olivar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0483005065,0.4014209136,0.8546090241,1.779205475,6.061995361,6.436127075,6.457204102,6.625599976,6.027290039,3.488930847,0.8991639747,0.0225103937,0,0,0,0,0,,39.10235769
PMGD PFV PARQUE SOLAR FOTOVOLTAICO LA VICTORIA,PMGD PFV Parque Solar Fotovoltaico La Victoria,MAGDALENA SOLAR SPA,PMGD PFV La Victoria,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1284128018,2.027541214,5.654356079,6.334678833,6.093705933,5.921422485,5.93425586,6.143496826,6.268532471,4.938445801,1.248407906,0.0325084014,0,0,0,0,0,,50.72576461
PMGD PFV PARQUE SOLAR JOTABECHE [EN_REVISION],PMGD PFV Parque Jotabeche,PMGD HOLDCO SPA [EN_REVISION],PMGD PFV Parque Jotabeche,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV PARQUE SOLAR LA MURALLA,PMGD PFV La Muralla,PARQUE SOLAR LA MURALLA SPA,PMGD PFV La Muralla,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0983870071,1.031557541,1.846754211,1.948404785,1.929294922,1.911039215,1.949339905,2.002725159,1.955486206,1.346519241,0.3315665989,0.0022484794,0,0,0,0,0,,16.35332327
PMGD PFV PARQUE SOLAR MARAMBIO,PMGD PFV Marambio,PARQUE SOLAR COLINA SPA,PMGD PFV Marambio,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0317910505,0.1990045852,0.599794426,1.382631531,1.812003082,1.820372559,1.82773056,1.870700775,1.665804626,0.961708252,0.2627784185,0.0025037744,0,0,0,0,0,,12.43682364
